Country,Year,Currency,Population,GDP_Growth,GDP_Per_Capita,Inflation_Rate,Gini_Coefficient,Labor_Force,Unemployment_Rate,Main_Sectors,Foreign_Reserves
Ethiopia,2023,"ETB, ብር",20.0,6.4,16220241612024.0,34.8,35.0,,3.5,"food processing, beverages, textiles, leather, chemicals, metals processing, cement",
Ghana,2023,"GHS, GH₵",23.4,1.62,16320211652021.0,41.2,43.5,,3.92,"mining, lumbering, light manufacturing, aluminum smelting, food processing, cement, small commercial ship building, petroleum",
Pakistan,2023,₨,39.8,6.2,16020241402024.0,5.1,31.6,,5.0,"Textiles
Apparel
Food processing
Pharmaceuticals
Surgical instruments
Construction materials
Fertilizer
Overseas remote freelancing
Seafood
Luxury products
Technology
Paper products
Automotive
Telecommunication
Marble
Glass manufacturing
Shipbreaking
Ornamentations
Banking
Energy
Precious minerals & metals
Defense industry
Media
Education
Tourism
Financial services
Human resources",15.5202531
Bangladesh,2023,"BDT, ৳",18.7,5.82,13920241262024.0,9.17,31.8,,3.53,TextilesPharmaceutical ProductsElectronicsShipbuildingAutomotiveBicycleLeatherJuteGlassPaperPlasticFood and BeveragesCementTeaRiceNatural Gas and Crude PetroleumIron and SteelShip breaking,
Iran,2023,"IRR,﷼",55.0,4.7,1172024932025.0,29.5,38.8,2735898720191339.0,8.9,"petroleum, petrochemicals, fertilizers, caustic soda, car manufacture, parts, pharmaceuticals, home appliances, electronics, telecommunications, energy, power, textiles, construction, cement and other construction materials, food processing (particularly sugar refining and vegetable oil production), ferrous and non-ferrous metal fabrication, armaments",
United Arab Emirates,2023,"AED, د.إ",,7.51,19202452024.0,1.62,26.0,,3.36,Petroleumpetrochemicalsfishingaluminumcementfertilizership repairconstructionmaterialshandicraftstextiles,
Qatar,2023,"QAR, QR",3.0,4.1,8202442024.0,3.1,,,0.6,Liquefied natural gascrude oilammoniafertilizerpetrochemicalsreinforcing steelcementship repair,
Chile,2023,CLP,6.2,2.4,632024612024.0,3.045,44.4,,7.2,"copper, lithium, other minerals, foodstuffs, fish processing, iron and steel, wood and wood products, transport equipment, cement, textiles",39.166202024
Colombia,2023,COP,39.3,7.5,922024842024.0,11.7,51.7,1721622011.6,9.6,"textiles, food processing, oil, clothing and footwear, beverages, chemicals, cement; gold, coal, emeralds, shipbuilding, electronics industry, home appliance",
Peru,2023,"PEN, S/",12.7,2.7,862024972024.0,1.9,40.2,,6.9,miningMineral and jewel processingsteelmetal fabricationpetroleumnatural gasfishingfish processingcementglasstextilesclothingfood processingbeersoft drinksrubbermachineryelectrical machinerychemicalsfurniture,
New Zealand,2023,"NZD, NZ$",11.0,2.4,4.823120255540492e+19,2.2,33.9,,3.3,"Food processing, Agriculture, Forestry, Wool, Tourism, Financial Services",
Norway,2023,,5.0,3.3,4202452025.0,3.3,24.7,,3.9,Petroleumnatural gasshippingfishingaquaculturefood processingshipbuildingpulp and papermetalschemicalstimberminingtextiles,
Denmark,2023,"DKK, kr",4.0,2.5,92023102023.0,3.4,28.6,,2.5,"wind turbines, pharmaceuticals, medical equipment, shipbuilding and refurbishment, iron, steel, nonferrous metals, chemicals, food processing, machinery and transportation equipment, textiles and clothing, electronics, Lego, construction, furniture and other wood products",75.2520173
Finland,2023,"EUR, €",15.8,2.1,152023232023.0,1.6,26.6,,9.2,"metals and metal products, electronics, machinery and scientific instruments, shipbuilding, pulp and paper, foodstuffs, chemicals, textiles, clothing[7]",
